"03 · source — откуда пришёл человек (🔒 список, предложение)",,,,,
"Полный список всех источников (канон) — то, что разрешено. Модель: кабинет = площадка целиком (yandex); человек/канал = площадка-имя (tg-python2026, yt-ivanov). Разбор сырых значений и миграция — лист 06. <…> — шаблон, скобки не пиши. Правая колонка — старые написания свести к одному.",,,,,
,,,,,
source,Группа,Что это,Активно,Старые написания → свести,Владелец (Гриша)
yandex,рекл. кабинет,"Яндекс Директ (поиск, контекст, медийка)",да,"ya, YandexDirect, сурс_yandex, yandex.zen",
geoadv,рекл. сеть,GeoAdv — геореклама (~8.4k сделок в БД!),да,"geoadv_direct, geoadv_search_yabs, geoadv_yabs, geoadv_maps",
yabusiness,рекл. кабинет,Яндекс Бизнес (профиль/карты),да,—,
tg_ads,рекл. кабинет,Telegram Ads,да,"tg, Telegram, tg ads, telega",
tiktok_ads,рекл. кабинет,TikTok Ads,да,"tiktok ads, TikTok, tt",
vk_ads,рекл. кабинет,VK Реклама,да,"vk, vkontakte, vk_mp, vkads, vkstadium",
google_ads,рекл. кабинет,Google Ads,НЕТ,google (выключен),
yt_ads,рекл. кабинет,Реклама на YouTube,по факту,"youtube_ads, youtube_ads_esaul/ekler/fluff",
max_ads,рекл. кабинет,Реклама в MAX,по факту,max (raw из БД),
avito,площадка,Авито (объявления / реклама),да,—,
advcake,CPA-сеть,AdvCake,да,cpa (когда стоял в source/medium),
admitad,CPA-сеть,Admitad,да,admitad_vtb,
gdeslon,CPA-сеть,ГдеСлон,да,—,
get4click,CPA-сеть,Get4Click,да,—,
flocktory,CPA / биржа,Flocktory — оплата за лид,да,—,
ris-promo,CPA / биржа,ris.promo — оплата за лид (как Flocktory),да,ris.promo,
tutortop,партнёр,TutorTop (агрегатор),да,—,
reshuege,партнёр,РешуЕГЭ,да,—,
sravni,партнёр,Sravni.ru,да,—,
kp,партнёр-медиа,Комсомольская правда,да,"kp_istorya, kp_litra",
kurshub,партнёр,KursHub,да,—,
kursfinder,партнёр,KursFinder,да,—,
schoolotzyv,партнёр,отзовик о школах,да,schoolotzyv.ru,
rbc-courses,партнёр-медиа,РБК Курсы,да,—,
study_ru,партнёр,Study.ru,да,—,
alfa-bank,партнёр,Альфа-Банк (спецпроект),да,alfa.bank,
eddupro,партнёр,EdduPro,да,website_eddu.pro,
digital-academy,партнёр,Digital Academy,да,—,
<partner>,партнёр,прочие партнёры — по заявке (полный разбор — лист 06),да,vc и т.п.,
<площадка>-<имя>,блогер,"блогер/канал закупки: tg-marya, yt-ivanov (+ medium=bloggers)",—,"tg_posev, yt_posev, telegram, tgpm",
<teacher>,преподаватель,"препод, который льёт трафик (+ medium=teachers)",—,—,
ig-<имя>,блогер/соц,Instagram блогеры/наш (+ bloggers/smm),—,"instagram_mik_mat, ig, inst",
ambassadors,амбассадоры,амбассадоры (латиницей!),да,амбассадоры (кириллица),
seo,поиск,бесплатный поиск на наш сайт (+ medium=organic),да,"SEO, organica, organika",
chatgpt,реферал / AI,"переходы из ChatGPT (GEO/AEO, + organic)",да,chatgpt.com,
perplexity,реферал / AI,"переходы из Perplexity (GEO/AEO, + organic)",да,—,
whatsapp,реферал,переходы из WhatsApp,да,wa,
pinterest,реферал,Pinterest,да,—,
rutube,соцканал,RuTube,да,—,
tg-<имя>,соцканал,"наши ТГ-каналы (+ medium=smm), напр. tg-python2026",да,tgb02_python и пр. в medium,
yt-<имя>,соцканал,наш YouTube (+ medium=smm или bloggers),да,youtube,
max-<имя>,соцканал,наши MAX-каналы (+ medium=smm),по факту,—,
direct,прямой,прямой заход / без источника,да,—,
op,⚠️ служебный,оплатная ссылка ОП — это не реклама,да,op2911,
admin_link,⚠️ служебный,ретеншен-ссылка платформы — не реклама,да,—,
retention,⚠️ служебный,возвраты / ретеншен — не привлечение,да,Retention,
