02 · medium — как мы платим за трафик (🔒 список),,,,
"Сейчас тут 149 разных значений — должно быть около 10. В medium пишем только модель оплаты, больше ничего. Новое значение — через заявку владельцу.",,,,
,,,,
medium,Что значит,Группа (для аналитики),Подсказка,Владелец (Гриша)
cpc,"Платим за клик (Яндекс Директ, контекст)",Performance,,
cpm,"Платим за показы (медийка, охватные посевы)",Performance,,
cpa,Платим за действие (CPA-сети),Performance,source = сеть: advcake / admitad / gdeslon / get4click,
bloggers,Закупка у блогеров (посев): подписчики / просмотры,Performance,source = блогер; закупщик → term,
teachers,Трафик от преподавателей,Контент,source = препод,
smm,"Органика наших соцсетей (TG / YT / VK), без оплаты за показ — то, что не входит в каналы преподов",Контент,,
organic,"Бесплатный трафик: поиск (SEO), AI-ответы (chatgpt / perplexity — GEO/AEO) и прямые заходы",Organic,крупнейший канал — сейчас недоучтён,
crm,"Рассылки: ТГ, VK, email",CRM,,
referral,Реферальная программа: клиент / амбассадор приводит по своей ссылке (не оплата за лид),Реферал,,
offline,"Оффлайн: мероприятия, печать и т.п.",Performance,,
internal,⚠️ Служебное: оплатные ссылки ОП и ретеншен,— НЕ считаем в рекламу,см. лист 07,
